symbol,direction,open_time,close_time,status,open_price,close_price,sl,tp,lot,sl_pips,risk_usd,risk_pct,pnl_pips,pnl_usd
GER40,SELL,2025-10-01 08:08:00+00:00,2025-10-01 09:46:00+00:00,sl,23892.08,23837.38,23837.38,23801.78833,0.1,361.2,3.61,0.361,531.0,5.47
GBPAUD,BUY,2025-10-01 10:04:00+00:00,2025-10-01 11:17:00+00:00,sl,2.03726,2.03548,2.03548,2.04216,0.02,17.8,2.2,0.218,-19.61,-2.2
GER40,SELL,2025-10-01 10:08:00+00:00,2025-10-01 11:33:00+00:00,sl,23800.88,23867.79667,23867.79667,23633.58833,0.1,669.2,6.69,0.666,-685.17,-6.69
GER40,BUY,2025-10-01 12:00:00+00:00,2025-10-01 16:31:00+00:00,sl,23884.68,24056.58,24056.58,24157.57167,0.1,1091.6,10.92,1.095,1703.0,17.19
EURUSD,SELL,2025-10-01 12:59:00+00:00,2025-10-01 14:16:00+00:00,sl,1.17331,1.17331,1.17331,1.16847,0.01,16.1,1.39,0.139,-1.3,-0.0
GBPUSD,BUY,2025-10-01 13:32:00+00:00,2025-10-01 15:07:00+00:00,sl,1.34635,1.34738,1.34738,1.35088,0.01,16.5,1.42,0.142,8.65,0.88
SP500,BUY,2025-10-01 14:53:00+00:00,2025-10-01 15:16:00+00:00,sl,6668.01,6659.30433,6659.30433,6689.77417,0.30000000000000004,87.1,2.25,0.225,-90.66,-2.25
DJ30,BUY,2025-10-01 15:45:00+00:00,2025-10-01 16:40:00+00:00,sl,46327.11,46462.71,46462.71,46594.99702,0.1,974.1,8.38,0.842,1345.0,11.66
NAS100,BUY,2025-10-01 16:31:00+00:00,2025-10-01 16:49:00+00:00,sl,24613.69,24549.01904,24549.01904,24759.19965,0.1,646.7,6.47,0.639,-654.71,-6.47
GER40,BUY,2025-10-01 16:35:00+00:00,2025-10-01 18:29:00+00:00,sl,24060.68,24184.58,24184.58,24265.46333,0.1,819.1,8.19,0.809,1223.0,12.39
